"filename", "language", "PHP", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\register.blade.php", "PHP", 92, 0, 12, 104
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\auth\verify.blade.php", "PHP", 28, 0, 2, 30
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\create.blade.php", "PHP", 82, 0, 11, 93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\edit.blade.php", "PHP", 82, 0, 13, 95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\index.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_details\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issuance_status\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\create.blade.php", "PHP", 55, 0, 8, 63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\edit.blade.php", "PHP", 56, 0, 11, 67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_criterias\show.blade.php", "PHP", 45, 0, 7, 52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\create.blade.php", "PHP", 63, 0, 10, 73
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\edit.blade.php", "PHP", 82, 0, 13, 95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\index.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_issue_persons\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\cardho.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\cardprint.blade.php", "PHP", 38, 0, 9, 47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\create.blade.php", "PHP", 82, 0, 11, 93
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\edit.blade.php", "PHP", 82, 0, 13, 95
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\card_prints\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\create.blade.php", "PHP", 74, 0, 10, 84
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\edit.blade.php", "PHP", 77, 0, 11, 88
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\index.blade.php", "PHP", 39, 0, 9, 48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\district\show.blade.php", "PHP", 53, 0, 11, 64
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\dsdivision\create.blade.php", "PHP", 74, 0, 10, 84
