"filename", "language", "PHP", "SCSS", "CSS", "JavaScript", "comment", "blank", "total"
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\forces\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\home.blade.php", "PHP", -77, 0, 0, 0, 0, -10, -87
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\layouts\app.blade.php", "PHP", -115, 0, 0, 0, 0, -22, -137
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\layouts\menu.blade.php", "PHP", -364, 0, 0, 0, 0, -39, -403
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\layouts\sidebar.blade.php", "PHP", -15, 0, 0, 0, 0, -3, -18
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\marital_status\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\create.blade.php", "PHP", -55, 0, 0, 0, 0, -8, -63
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\edit.blade.php", "PHP", -56, 0, 0, 0, 0, -11, -67
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\index.blade.php", "PHP", -39, 0, 0, 0, 0, -9, -48
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permission_categories\show.blade.php", "PHP", -45, 0, 0, 0, 0, -7, -52
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permissions\edit.blade.php", "PHP", -83, 0, 0, 0, 0, -13, -96
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\permissions\index.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\create.blade.php", "PHP", -464, 0, 0, 0, -44, -58, -566
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\create.blade.php", "PHP", -259, 0, 0, 0, 0, -34, -293
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\edit.blade.php", "PHP", -255, 0, 0, 0, 0, -30, -285
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\index.blade.php", "PHP", -38, 0, 0, 0, 0, -9, -47
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\show.blade.php", "PHP", -265, 0, 0, 0, 0, -56, -321
"e:\xampp 8.1\htdocs\army\vpcms\resources\views\persons\dependence\show_neo.blade.php", "PHP", -171, 0, 0, 0, 0, -41, -212
